observation_stable_id	pubmed_id
OB_000156	17129213
OB_001570	17266679
OB_001571	15998808
OB_001572	17266679
OB_001573	17266679
OB_001574	17266679
OB_001575	17266679
OB_001576	17266679
OB_001577	17266679
OB_001578	17266679
OB_001579	17266679
OB_000157	17129213
OB_001580	17266679
OB_001581	17266679
OB_001582	15998808
OB_001583	17266679
OB_001584	17266679
OB_001585	17266679
OB_001586	17266679
OB_001587	17266679
OB_001588	17266679
OB_001589	17266679
OB_000158	8638122
OB_001590	17266679
OB_001591	17266679
OB_001592	17266679
OB_001593	15998808
OB_001594	17266679
OB_001595	17266679
OB_001596	17266679
OB_001597	17266679
OB_001598	17266679
OB_001599	17266679
OB_000159	17129213
OB_000015	19372390
OB_001600	17266679
OB_001601	17266679
OB_001602	17266679
OB_001603	17266679
OB_001604	15998808
OB_001605	17266679
OB_001606	17266679
OB_001607	17266679
OB_001608	17266679
OB_001609	17266679
OB_000160	17129213
OB_001610	17266679
OB_001611	17266679
OB_001612	17266679
OB_001613	17266679
OB_001614	17266679
OB_001615	15998808
OB_001616	17266679
OB_001617	17266679
OB_001618	17266679
OB_001619	17266679
OB_000161	17129213
OB_001620	17266679
OB_001621	15998808
OB_001622	17266679
OB_001623	17266679
OB_001624	17266679
OB_001625	17266679
OB_001626	17266679
OB_001627	17266679
OB_001628	17266679
OB_001629	17266679
OB_000162	17129213
OB_001630	17266679
OB_001631	17266679
OB_001632	15998808
OB_001633	17266679
OB_001634	17266679
OB_001635	17266679
OB_001636	17266679
OB_001637	17266679
OB_001638	17266679
OB_001639	17266679
OB_000163	17129213
OB_001640	17266679
OB_001641	17266679
OB_001642	17266679
OB_001643	15998808
OB_001644	17266679
OB_001645	17266679
OB_001646	17266679
OB_001647	17266679
OB_001648	17266679
OB_001649	17266679
OB_000164	17129213
OB_001650	17266679
OB_001651	17266679
OB_001652	17266679
OB_001653	17266679
OB_001654	15998808
OB_001655	17266679
OB_001656	17266679
OB_001657	17266679
OB_001658	17266679
OB_001659	17266679
OB_000165	17129213
OB_001660	17266679
OB_001661	17266679
OB_001662	17266679
OB_001663	17266679
OB_001664	17266679
OB_001665	15998808
OB_001666	11024000
OB_001667	10617200
OB_001668	17266679
OB_001669	17266679
OB_000166	17129213
OB_001670	17266679
OB_001671	9725835
OB_001672	9725835
OB_001673	9725835
OB_001674	9725835
OB_001675	9725835
OB_001676	9725835
OB_001677	9725835
OB_001678	15998808
OB_001679	9725835
OB_000167	17129213
OB_001680	9725835
OB_001681	9725835
OB_001682	9725835
OB_001683	9725835
OB_001684	9725835
OB_001685	9725835
OB_001686	9725835
OB_001687	9725835
OB_001688	9725835
OB_001689	15998808
OB_000168	17129213
OB_001690	9725835
OB_001691	9725835
OB_001692	9725835
OB_001693	9725835
OB_001694	9725835
OB_001695	9725835
OB_001696	9725835
OB_001697	9725835
OB_001698	9725835
OB_001699	9725835
OB_000169	12124627
OB_000016	19372390
OB_001700	15998808
OB_001701	9725835
OB_001702	9725835
OB_001703	9725835
OB_001704	18006689
